English_Line,Target_Syllables,Option_1_Hindi,Option_1_Syllables,Option_1_SemanticScore,Option_2_Hindi,Option_2_Syllables,Option_2_SemanticScore,Option_3_Hindi,Option_3_Syllables,Option_3_SemanticScore
the club isn't the best place to find a lover so the bar is where i go,19,मिलेया मिलेया मुझे पर मैनु जानेया नहीं,16,0.4660,शामो-सहर ओ मेरे याराकोई ना कोई चाहिए प्यार करने वाला,22,0.4646,"बंगले के पीछे है ताला, घुसूँ कहाँ से मैं साला",16,0.4387
me and my friends at the table doing shots drinking fast and then we talk slow,19,"कभी तुम खफा, कभी हम खफा, कभी ये गिला, कभी वो गिला",20,0.4168,पीते हैं हम शराब बहुत अहतराम से,12,0.5369,कभी कभी किसी पार्टी में ज्यादा हो गयी,14,0.4339
and you come over and start up a conversation with just me and trust me i'll give it a chance,24,तेरे लिए आया है वो मैंने भी बुलाया है,15,0.6740,तेरे लिए आया है वो तूने ही बुलाया है,15,0.6488,कभी तू मिले मुझसे कहे के मैं हूँ तेरा,14,0.6828
now take my hand stop put the man on the jukebox and then we start to dance,18,"आनि विधाता बैठे आसन,इन्द्र अप्सरा नृत्य करैं",15,0.5992,अरे अब तो रोके ना रुकूं मैं किसी के रोके से,16,0.5054,रोउडी मेरे चक्कर में सेंटी हुआ.. हा हा हा हा,16,0.5007
now i'm singing like girl you know i want your love,12,गाये जाऊंगा यही गीत मैं तेरे लिए,13,0.7871,मुझको तू चाहिए तेरा प्यार चाहिए,12,0.7225,उम्र भर गाएंगे नग़्मा ये प्यार का,10,0.7842
your love was handmade for somebody like me,11,तेरा मेरा प्यार निराला था,9,0.7865,तभी तो तुझी से दिल लगा लिया,11,0.6969,इतना न मुझसे तू प्यार बढ़ा,9,0.7636
come on now follow my lead,7,मुझे फॉलो फॉलो करते हैं,9,0.8421,मैं आना तेरे आगे,7,0.7682,मेरे कदम वहीँ चलें,8,0.7876
i may be crazy don't mind me say,9,मुझ जैसा ना कोई कमीना,9,0.6621,ना कहो है मेरा कुसूर,8,0.6932,मुझे बिन कहे जो ये बोल दे,9,0.6495
boy let's not talk too much,6,बातें करना इजी नहीं,8,0.7146,को ना और भड़का ना,6,0.6099,चाहे कुछ ना कहना,6,0.5970
grab on my waist and put that body on me,11,[छोड़ दो ऐसे मुझको अपनी बाँहों में,11,0.6752,मुझे मिलता सुकून तेरी बाहों में,11,0.6493,"मेरी बाहों में, मचल जाएगी",10,0.6665
come on now follow my lead,7,मुझे फॉलो फॉलो करते हैं,9,0.8421,मैं आना तेरे आगे,7,0.7682,मेरे कदम वहीँ चलें,8,0.7876
come on now follow my lead,7,मुझे फॉलो फॉलो करते हैं,9,0.8421,मैं आना तेरे आगे,7,0.7682,मेरे कदम वहीँ चलें,8,0.7876
i'm in love with the shape of you,8,तुझ से मोहब्बत हुई,7,0.7858,मैं हूँ तेरी प्रेम दिवानी,8,0.7374,हमें तुमसे मोहब्बत है,8,0.7111
we push and pull like a magnet do,9,कुछ-कुछ धक-धक धक-धक करता है,11,0.6987,धक-धक धड़काए रे ए ए ए,10,0.6064,ये मोह मोह के धागे,6,0.6719
although my heart is falling too,8,मेरे दिल की दुआएं हैं,8,0.8090,भिखरे दिल का मैं हाल हूँ,7,0.8260,मेरे दिल की धड़कन भी,8,0.7907
i'm in love with your body,7,तुझ से मोहब्बत हुई,7,0.8095,मैं दीवाना प्यार का हूँ,7,0.7974,इस क़दर तू मुझे प्यार कर,7,0.7778
last night you were in my room,7,तुझसे ही तो शाम मिले,7,0.6687,तुही मुझमें रहती थी,7,0.6625,मैं था आवारा लम्हा,7,0.6569
now my bedsheets smell like you,7,तेरी खुशबू आती है,7,0.6615,मेरा वास दी नि गल,6,0.6894,महक मैं जाऊं खुशबू में,8,0.6747
every day discovering something brand new,11,आज भी नई लगे तेरी हर अदा,11,0.6560,हर घड़ी जिंदा हर दिन नया सा है,10,0.6181,"पलछिन कलियाँ गिन गिन, तेरा हर दिन",11,0.5757
i'm in love with your body,7,तुझ से मोहब्बत हुई,7,0.8095,मैं दीवाना प्यार का हूँ,7,0.7974,इस क़दर तू मुझे प्यार कर,7,0.7778
